1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,Credit Earned,CGPA,registered_program,target_dept
ARC-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,57.00,3.27,BIO,MNS
ARC-1,BIO-2,PHR-3,5,4.7,ban,Dinajpur,Rajshahi,66.00,2.76,BIO,MNS
ECO-1,BBA-2,,5,2.5,eng,,,90.00,2.92,BIO,MNS
BIO-1,MIC-2,CSE-3,5,5,ban,Dhaka,Dhaka,34.50,2.51,BIO,MNS
PHR-1,BIO-2,MIC-3,5,5,ban,Comilla,Comilla,81.00,2.02,BIO,MNS
BIO-1,MIC-2,CSE-3,5,4.9,ban,Jessore,Dhaka,18.00,2.55,BIO,MNS
BIO-1,MIC-2,PHR-3,,,ban,,,42.00,3.97,BIO,MNS
BIO-1,MIC-2,BBA-3,3.5,,ban,Others,Others,66.00,3.77,BIO,MNS
BIO-1,MIC-2,PHY-3,4.67,5,eng,,,90.00,2.41,BIO,MNS
BIO-1,BBA-2,ECO-3,5,4.7,ban,Dhaka,Dhaka,93.00,2.12,BIO,MNS
BIO-1,MIC-2,BBA-3,5,,ban,Dinajpur,Dhaka,39.00,2.65,BIO,MNS
BIO-1,MIC-2,,4.2,3,eng,,,42.00,3.36,BIO,MNS
BIO-1,ARC-2,,5,4.7,ban,Dhaka,Dhaka,136.00,3.08,BIO,MNS
BIO-1,MIC-2,,5,5,eng,,,33.00,2.36,BIO,MNS
MIC-1,BIO-2,,5,4.7,ban,Dhaka,Dhaka,102.00,3.61,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,120.00,2.89,BIO,MNS
BIO-1,MIC-2,PHR-3,5,4.25,eng,,,123.00,2.73,BIO,MNS
PHR-1,BIO-2,ECE-3,5,5,ban,Dhaka,Dhaka,69.00,3.21,BIO,MNS
PHR-1,MIC-2,BIO-3,5,5,ban,Dhaka,Dhaka,129.00,3.3,BIO,MNS
PHR-1,CSE-2,BIO-3,5,5,ban,Comilla,Dhaka,115.00,3.84,BIO,MNS
MIC-1,BIO-2,PHR-3,5,4,eng,,,100.00,3.61,BIO,MNS
BIO-1,PHR-2,MIC-3,5,4.1,eng-ver,CBSE,CBSE,118.00,2.9,BIO,MNS
BIO-1,MIC-2,CS-3,5,4.6,ban,Chittagong,Chittagong,9.00,2.34,BIO,MNS
BIO-1,MIC-2,PHR-3,5,4.5,eng,,,42.00,3.28,BIO,MNS
BIO-1,EEE-2,PHR-3,5,5,ban,Dhaka,Dhaka,15.00,2.3,BIO,MNS
BIO-1,ECO-2,MIC-3,5,4.8,ban,Dhaka,Dhaka,108.00,2.83,BIO,MNS
BIO-1,MIC-2,LLB-3,5,4.9,ban,Dhaka,Dhaka,97.00,3.12,BIO,MNS
ARC-1,PHR-2,BIO-3,5,5,ban,Dhaka,Dhaka,18.00,2.79,BIO,MNS
BBA-1,MIC-2,BIO-3,5,4.75,eng,,,75.00,2.41,BIO,MNS
ARC-1,BIO-2,ENG-3,,,ban,,,45.00,2.41,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,eng,,,105.00,3.84,BIO,MNS
MIC-1,CSE-2,BIO-3,5,5,ban,Dhaka,Dhaka,51.00,3.66,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,93.00,2.67,BIO,MNS
EEE-1,BIO-2,PHR-3,5,5,ban,Dhaka,Dhaka,36.00,2.91,BIO,MNS
ECO-1,ENG-2,BBA-3,5,3,eng,,,36.00,3.17,BIO,MNS
BIO-1,BBA-2,MIC-3,5,3,eng,,,42.00,3.59,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Jessore,Jessore,24.00,2.15,BIO,MNS
BIO-1,CSE-2,ENG-3,5,5,ban,Dhaka,Dhaka,93.00,2.19,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,47.50,2.58,BIO,MNS
ARC-1,PHR-2,BIO-3,5,5,eng-ver,Dhaka,Dhaka,42.00,2.76,BIO,MNS
BIO-1,MIC-2,LLB-3,5,4.5,eng,Dhaka,,36.00,3.22,BIO,MNS
BIO-1,MIC-2,CSE-3,5,5,ban,Dhaka,Dhaka,105.00,2.53,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,36.00,2.89,BIO,MNS
BIO-1,BBA-2,CSE-3,5,4.9,ban,Sylhet,Sylhet,111.00,3.18,BIO,MNS
BIO-1,MIC-2,PHY-3,5,5,ban,Dhaka,Dhaka,15.00,2.45,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,eng-ver,Dhaka,Dhaka,96.00,2.3,BIO,MNS
BIO-1,MIC-2,ANT-3,5,5,ban,Dhaka,Dhaka,123.00,3.02,BIO,MNS
MIC-1,BIO-2,ECO-3,5,4.8,ban,Dhaka,Dhaka,21.00,2.73,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,51.00,3.27,BIO,MNS
MIC-1,PHR-2,BIO-3,5,3,eng,,,102.00,3.47,BIO,MNS
CSE-1,EEE-2,BIO-3,5,5,ban,Dhaka,Dhaka,21.00,2.86,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,eng,,,24.00,2.45,BIO,MNS
EEE-1,BIO-2,CSE-3,5,5,ban,Dhaka,Dhaka,42.00,2.89,BIO,MNS
PHR-1,ECE-2,BIO-3,5,5,ban,Rajshahi,Rajshahi,35.50,3.41,BIO,MNS
BIO-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,24.00,4,BIO,MNS
CSE-1,BIO-2,LLB-3,5,5,ban,Rajshahi,Rajshahi,38.50,3.16,BIO,MNS
BIO-1,MIC-2,,5,3.6,eng,,,66.00,3.23,BIO,MNS
BIO-1,ECE-2,CSE-3,5,5,ban,Dhaka,Dhaka,65.00,3.48,BIO,MNS
CS-1,BIO-2,BBA-3,4.69,4.5,ban,Dhaka,Dhaka,21.00,3.05,BIO,MNS
BIO-1,MIC-2,BBA-3,5,,ban,Dhaka,Dhaka,42.00,2.71,BIO,MNS
BIO-1,MIC-2,,5,3.67,eng,,,36.00,2.33,BIO,MNS
BIO-1,EEE-2,CSE-3,5,,ban,Dhaka,Dhaka,33.00,3.51,BIO,MNS
ARC-1,BIO-2,EEE-3,5,,ban,,,39.00,2.45,BIO,MNS
BIO-1,,,,,ban,,,136.00,3.25,BIO,MNS
BIO-1,,,,,ban,,,75.00,2.09,BIO,MNS
CS-1,CSE-2,BIO-3,4.88,5,ban,Dhaka,Dhaka,99.00,2.34,BIO,MNS
BIO-1,PHR-2,CSE-3,5,5,ban,Dhaka,Dhaka,30.00,2.82,BIO,MNS
CSE-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,18.00,2.4,BIO,MNS
PHR-1,CSE-2,BIO-3,5,5,ban,Dhaka,Dhaka,114.00,2.37,BIO,MNS
BIO-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,123.00,2.75,BIO,MNS
BIO-1,PHR-2,MIC-3,5,4.83,ban,Dhaka,Dhaka,66.00,3.44,BIO,MNS
BBA-1,BIO-2,ECO-3,5,5,ban,Dhaka,Dhaka,25.00,2.2,BIO,MNS
BIO-1,PHR-2,ENG-3,5,5,ban,Dhaka,Dhaka,45.00,2.48,BIO,MNS
EEE-1,BIO-2,ECO-3,5,4.67,eng-ver,Dhaka,Dhaka,15.00,2.24,BIO,MNS
BIO-1,MIC-2,CSE-3,5,4.75,eng-ver,Chittagong,Chittagong,72.00,3.82,BIO,MNS
BIO-1,MIC-2,CSE-3,5,5,ban,Dhaka,Dhaka,69.00,2.63,BIO,MNS
BIO-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,48.00,3.65,BIO,MNS
BIO-1,PHR-2,ARC-3,5,5,ban,Dhaka,Dhaka,12.00,2.43,BIO,MNS
PHR-1,ARC-2,BIO-3,5,5,ban,Dhaka,Dhaka,136.00,2.38,BIO,MNS
BIO-1,MIC-2,PHR-3,5,5,ban,Comilla,Dhaka,50.00,2.57,BIO,MNS
BIO-1,MIC-2,ENG-3,5,5,ban,Dhaka,Dhaka,21.00,2.55,BIO,MNS
BIO-1,CSE-2,EEE-3,4.56,4.1,ban,Comilla,Comilla,15.00,2.51,BIO,MNS
PHR-1,BIO-2,ECE-3,5,5,ban,Dhaka,Dhaka,36.00,3.73,BIO,MNS
BIO-1,CSE-2,EEE-3,5,5,ban,Dinajpur,Dinajpur,111.00,3.26,BIO,MNS
CSE-1,PHR-2,BIO-3,5,4.75,ban,Jessore,Jessore,9.00,3.29,BIO,MNS
PHR-1,MIC-2,BIO-3,5,5,ban,Dhaka,Dhaka,57.00,2.01,BIO,MNS
PHR-1,BIO-2,MIC-3,5,4.83,ban,Dhaka,Dhaka,63.00,2.16,BIO,MNS
MIC-1,BBA-2,BIO-3,5,5,ban,Dhaka,Dhaka,53.50,2.18,BIO,MNS
MIC-1,BIO-2,PHR-3,5,5,ban,Dhaka,Dhaka,27.00,3.65,BIO,MNS
BIO-1,,,5,5,ban,Dhaka,Dhaka,133.00,2.77,BIO,MNS
PHR-1,BIO-2,MIC-3,5,4.33,ban,Dhaka,Dhaka,16.00,2.25,BIO,MNS
BIO-1,MIC-2,CSE-3,5,5,ban,,,9.00,2.96,BIO,MNS
CSE-1,APE-2,BIO-3,5,4.42,ban,,,45.00,2.49,BIO,MNS
BIO-1,PHR-2,ECE-3,5,5,ban,,,120.00,2.44,BIO,MNS
BIO-1,ECO-2,BBA-3,5,5,ban,,,51.00,2.59,BIO,MNS
ARC-1,BIO-2,MIC-3,5,3.75,ban,,,137.50,3.17,BIO,MNS
BIO-1,MIC-2,CSE-3,5,4.83,ban,,,15.00,3.25,BIO,MNS
BIO-1,MIC-2,CSE-3,5,5,ban,,,54.00,2.67,BIO,MNS
BIO-1,MIC-2,,5,5,ban,,,26.50,2.75,BIO,MNS
BIO-1,MIC-2,ENG-3,5,5,eng,,,33.00,3.11,BIO,MNS
BIO-1,LLB-2,MIC-3,5,4.6,ban,,,111.00,2.63,BIO,MNS
EEE-1,CSE-2,BIO-3,5,5,ban,,,15.00,2.86,BIO,MNS
BIO-1,MIC-2,ECO-3,4.14,3.25,eng,,,72.00,2.7,BIO,MNS
BIO-1,MIC-2,,5,5,ban,Dhaka,Dhaka,45.00,3.19,BIO,MNS
MIC-1,BIO-2,,5,,eng,,,105.00,3.2,BIO,MNS
ARC-1,BIO-2,CSE-3,4.4,,eng,,,135.00,2.72,BIO,MNS
MIC-1,BIO-2,ARC-3,5,,ban,Dhaka,Dhaka,69.00,3.97,BIO,MNS
BIO-1,MIC-2,ECE-3,5,,eng,,,15.00,2.09,BIO,MNS
BIO-1,CSE-2,MIC-3,5,,eng,,,24.00,2.54,BIO,MNS
ARC-1,CSE-2,,5,5,ban,Dinajpur,Dhaka,60.00,2.06,BIO,MNS
EEE-1,BIO-2,MIC-3,4.5,5,eng,Dhaka,Dhaka,57.00,2.4,BIO,MNS
BIO-1,MIC-2,BBA-3,4.8,,eng,,,100.00,3.09,BIO,MNS
BIO-1,,,2.5,2.5,eng,,,36.00,2.14,BIO,MNS
BIO-1,MIC-2,EEE-3,5,5,ban,Dhaka,Dhaka,51.00,3.92,BIO,MNS
BIO-1,MIC-2,EEE-3,5,5,ban,Dinajpur,Dinajpur,47.50,2.46,BIO,MNS
BIO-1,CSE-2,EEE-3,5,3.75,eng,,,9.00,2.33,BIO,MNS
PHR-1,BIO-2,ENG-3,4.1,4.2,ban,CBSE,CBSE,48.00,3.03,BIO,MNS
BIO-1,MIC-2,ECO-3,4.86,5,eng,,,78.00,2.42,BIO,MNS
BIO-1,MIC-2,ARC-3,5,4.75,eng,,,42.00,2.14,BIO,MNS
BIO-1,BBA-2,ECO-3,4.6,3,eng,,,111.00,2.76,BIO,MNS
ARC-1,MIC-2,BIO-3,4.88,5,ban,Dhaka,Dhaka,108.00,2.67,BIO,MNS
EEE-1,CSE-2,MIC-3,5,5,ban,Dhaka,Dhaka,21.00,2.34,BIO,MNS
BIO-1,MIC-2,ANT-3,5,5,eng,,,123.00,3.04,BIO,MNS
ARC-1,CSE-2,BIO-3,5,5,ban,Dhaka,Dhaka,21.00,2.42,BIO,MNS
PHR-1,BIO-2,MIC-3,4.94,5,ban,Comilla,Dhaka,15.00,3.93,BIO,MNS
BIO-1,PHR-2,MIC-3,4.81,4.92,ban,Dhaka,Dhaka,12.00,2.94,BIO,MNS
PHR-1,BIO-2,MIC-3,5,4,eng,,,126.00,2.94,BIO,MNS
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,24.00,2.09,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,ban,Dhaka,Dhaka,36.00,3.32,CS,ComputerSciandEngr
ARC-1,CSE-2,,5,4.4,ban,Chittagong,Dhaka,129.00,2.85,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,102.00,3.02,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Comilla,Dhaka,9.00,2.45,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,4.9,ban,Dhaka,Dhaka,60.00,3.1,CS,ComputerSciandEngr
CSE-1,ENG-2,,5,4.5,ban,Dhaka,Dhaka,33.00,3.46,CS,ComputerSciandEngr
EEE-1,ECE-2,,,,ban,,,39.00,2.38,CS,ComputerSciandEngr
CS-1,CSE-2,,,,ban,,,84.00,3.39,CS,ComputerSciandEngr
CSE-1,CS-2,,,,eng-ver,Rajshahi,Dinajpur,117.00,3.89,CS,ComputerSciandEngr
CSE-1,CS-2,,5,4.5,eng-ver,Rajshahi,Rajshahi,117.00,4,CS,ComputerSciandEngr
BIO-1,MIC-2,,4,4,eng,,,15.00,2.65,CS,ComputerSciandEngr
CSE-1,ECO-2,,5,5,ban,Dhaka,Dhaka,87.00,3.52,CS,ComputerSciandEngr
ECE-1,CS-2,,5,,eng,,,123.00,2.7,CS,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,161.00,2.67,CS,ComputerSciandEngr
ARC-1,CS-2,,,,ban,,,81.00,3.47,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,3.9,ban,Dhaka,Dhaka,36.00,3.74,CS,ComputerSciandEngr
CSE-1,ECO-2,,,,ban,,,120.00,2.43,CS,ComputerSciandEngr
CSE-1,CS-2,,,,ban,,,9.00,2.4,CS,ComputerSciandEngr
ARC-1,CS-2,,,,ban,,,18.00,2.45,CS,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,24.00,2.79,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Dhaka,Dhaka,61.00,2.05,CS,ComputerSciandEngr
CSE-1,CS-2,,4.44,4.13,ban,Dhaka,Dhaka,117.00,3.4,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,47.50,2.92,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.88,3.9,ban,Jessore,Jessore,63.00,2.51,CS,ComputerSciandEngr
ARC-1,ECE-2,,4.75,4.9,ban,Dhaka,Dhaka,12.00,3.96,CS,ComputerSciandEngr
CSE-1,BBA-2,,4.69,3.9,ban,Dhaka,Dhaka,21.00,2.78,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,24.00,2.21,CS,ComputerSciandEngr
CSE-1,BBA-2,,5,4.2,ban,Sylhet,Dhaka,15.00,3.51,CS,ComputerSciandEngr
CSE-1,CS-2,,4.63,4.2,eng-ver,Dhaka,Dhaka,186.50,2.53,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.3,eng-ver,Comilla,Dhaka,21.00,2.41,CS,ComputerSciandEngr
CSE-1,ARC-2,,,,ban,,,24.00,2.16,CS,ComputerSciandEngr
CSE-1,EEE-2,,,,eng-ver,Dhaka,Dhaka,132.00,2.29,CS,ComputerSciandEngr
CSE-1,CS-2,,4.69,4.6,ban,Dhaka,Dhaka,54.00,2.21,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.94,4.4,ban,Dhaka,Dhaka,126.00,3.36,CS,ComputerSciandEngr
CSE-1,CS-2,,5,4.5,ban,Dhaka,Dhaka,9.00,2.51,CS,ComputerSciandEngr
CS-1,CSE-2,,,,ban,,,149.00,2.5,CS,ComputerSciandEngr
EEE-1,CS-2,,,,ban,,,36.00,2.88,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,39.00,3.72,CS,ComputerSciandEngr
CSE-1,BBA-2,,5,4.9,ban,Dhaka,Dhaka,82.50,2.46,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Dhaka,Dhaka,72.00,2.84,CS,ComputerSciandEngr
EEE-1,BBA-2,,5,4,eng,,,36.00,2.25,CS,ComputerSciandEngr
BIO-1,CS-2,,4.2,2.5,eng,,,12.00,2.83,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,4,ban,Chittagong,Chittagong,27.00,3.1,CS,ComputerSciandEngr
CSE-1,ECE-2,,,,ban,Chittagong,Chittagong,45.00,2.62,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.9,ban,Rajshahi,Rajshahi,109.00,2.33,CS,ComputerSciandEngr
MAT-1,BBA-2,,4.81,4.1,ban,Dhaka,Dhaka,30.00,3.73,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,4.4,ban,Dhaka,Dhaka,144.00,2.35,CS,ComputerSciandEngr
CSE-1,ENG-2,,4.19,4.09,ban,Dhaka,Dhaka,30.00,2.32,CS,ComputerSciandEngr
CSE-1,PHY-2,,,,ban,,,99.00,2.93,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,117.00,2.47,CS,ComputerSciandEngr
CSE-1,ARC-2,,5,4.8,ban,Chittagong,Chittagong,132.00,3.06,CS,ComputerSciandEngr
CSE-1,CS-2,,4.83,4.25,eng,,,75.00,2.77,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.4,ban,Dhaka,Dhaka,36.00,3.43,CS,ComputerSciandEngr
ARC-1,CSE-2,,5,5,ban,Rajshahi,Rajshahi,51.00,3.22,CS,ComputerSciandEngr
PHR-1,CSE-2,,5,5,ban,Dhaka,Chittagong,72.00,3.15,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,3.7,ban,Rajshahi,Rajshahi,18.00,2.85,CS,ComputerSciandEngr
CSE-1,EEE-2,,,,ban,,,9.00,3.86,CS,ComputerSciandEngr
ECE-1,CSE-2,,5,4.4,ban,Dhaka,Dhaka,120.00,2.83,CS,ComputerSciandEngr
EEE-1,CSE-2,,4.88,4.2,ban,Dhaka,Dhaka,27.00,2.05,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.7,4,eng,,,90.00,2.52,CS,ComputerSciandEngr
CS-1,CSE-2,,5,3.6,ban,Dhaka,Dhaka,126.00,3.67,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.88,3.6,ban,Dhaka,Dhaka,33.00,2.65,CS,ComputerSciandEngr
CSE-1,BBA-2,,5,4.8,ban,Dhaka,Dhaka,39.00,2.8,CS,ComputerSciandEngr
CSE-1,APE-2,,4.88,4.7,ban,Sylhet,Dhaka,91.00,2.3,CS,ComputerSciandEngr
ECE-1,CSE-2,,,,ban,,,42.00,2.29,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,21.00,3.21,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Chittagong,Chittagong,42.00,2.07,CS,ComputerSciandEngr
ARC-1,ECE-2,,5,4.2,ban,Dhaka,Dhaka,39.00,2.98,CS,ComputerSciandEngr
CSE-1,PHR-2,,5,5,ban,Dhaka,Dhaka,33.00,2.73,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.8,madrasah,Madrasah,Rajshahi,69.00,2.55,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,5,eng-ver,Dhaka,Dhaka,78.00,2.55,CS,ComputerSciandEngr
PHR-1,ECE-2,,4.88,4.7,ban,Dhaka,Dhaka,51.00,4,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,51.00,3.38,CS,ComputerSciandEngr
CSE-1,CS-2,,5,5,ban,Dhaka,Dhaka,39.00,2.48,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.85,4,eng,Others,,15.00,2.27,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.3,ban,Dhaka,Dhaka,108.00,3.45,CS,ComputerSciandEngr
CSE-1,BBA-2,,4.88,5,ban,Dhaka,Dhaka,57.00,2.97,CS,ComputerSciandEngr
CS-1,EEE-2,,4.67,4.67,eng,,,60.00,2.84,CS,ComputerSciandEngr
BIO-1,PHR-2,,5,5,ban,Dhaka,Dhaka,126.00,2.41,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.88,4.7,ban,Chittagong,Chittagong,120.00,2.43,CS,ComputerSciandEngr
CS-1,MAT-2,,4.8,4.2,eng,,,181.00,2.64,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,45.00,2.06,CS,ComputerSciandEngr
CSE-1,ECE-2,CS-3,5,5,ban,Rajshahi,Rajshahi,63.00,3.82,CS,ComputerSciandEngr
PHY-1,APE-2,ECE-3,4.4,3,eng,,,66.00,3.17,CS,ComputerSciandEngr
BBA-1,EEE-2,CSE-3,5,4.8,ban,Sylhet,Sylhet,48.00,2.45,CS,ComputerSciandEngr
CS-1,PHR-2,ECO-3,,,ban,,,24.00,2,CS,ComputerSciandEngr
CSE-1,CS-2,BBA-3,5,4.7,ban,Dhaka,Dhaka,30.00,2.15,CS,ComputerSciandEngr
CSE-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,90.00,2.19,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,4.88,5,ban,Dhaka,Dhaka,124.00,2.95,CS,ComputerSciandEngr
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,27.00,2.42,CS,ComputerSciandEngr
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,15.00,2.23,CS,ComputerSciandEngr
ARC-1,CSE-2,ECE-3,5,4.9,ban,Dhaka,Dhaka,15.00,2.51,CS,ComputerSciandEngr
APE-1,CSE-2,PHY-3,5,5,ban,Dinajpur,Dinajpur,18.00,2.14,CS,ComputerSciandEngr
CSE-1,PHR-2,EEE-3,4.94,4.8,ban,Dhaka,Dhaka,105.00,2.62,CS,ComputerSciandEngr
EEE-1,CSE-2,BBA-3,5,5,eng-ver,Dinajpur,Dhaka,33.00,2.58,CS,ComputerSciandEngr
CSE-1,EEE-2,ARC-3,5,5,ban,Jessore,Jessore,123.00,2.94,CS,ComputerSciandEngr
CSE-1,BIO-2,CS-3,5,5,ban,Dhaka,Dhaka,124.00,2.43,CS,ComputerSciandEngr
CSE-1,EEE-2,BBA-3,5,5,ban,Dhaka,Dhaka,39.00,3.24,CS,ComputerSciandEngr
ECE-1,CSE-2,BIO-3,,,ban,,,90.00,2.93,CS,ComputerSciandEngr
CSE-1,EEE-2,APE-3,,,ban,,,84.00,2.78,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.6,ban,Dhaka,Dhaka,81.00,2.87,CS,ComputerSciandEngr
CSE-1,CS-2,EEE-3,5,5,ban,Dhaka,Dhaka,39.00,2.47,CS,ComputerSciandEngr
CSE-1,CS-2,ECE-3,5,5,ban,Barisal,Barisal,60.00,2.76,CS,ComputerSciandEngr
EEE-1,CSE-2,ECE-3,,4.78,eng,,,75.00,3.06,CS,ComputerSciandEngr
CSE-1,EEE-2,APE-3,5,4.2,ban,Jessore,Dhaka,54.00,2.88,CS,ComputerSciandEngr
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,15.00,2.03,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.8,ban,Dhaka,Dhaka,117.00,2.5,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,43.00,2.46,CS,ComputerSciandEngr
CSE-1,EEE-2,APE-3,5,5,ban,Dhaka,Dhaka,102.00,2.66,CS,ComputerSciandEngr
MIC-1,PHR-2,CSE-3,5,4.5,ban,Dhaka,Dhaka,136.00,3.58,CS,ComputerSciandEngr
ECO-1,EEE-2,CSE-3,5,4.7,ban,Comilla,Comilla,111.00,2.36,CS,ComputerSciandEngr
PHR-1,CSE-2,CS-3,5,5,ban,Dhaka,Dhaka,54.00,2.89,CS,ComputerSciandEngr
CSE-1,PHR-2,EEE-3,4.81,5,ban,Dhaka,Dhaka,137.50,3.12,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,144.00,2.21,CS,ComputerSciandEngr
CSE-1,ARC-2,ENG-3,5,4.6,ban,Dhaka,Dhaka,18.00,3.4,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.6,ban,Dhaka,Dhaka,78.00,2.25,CS,ComputerSciandEngr
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,9.00,2.12,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.6,ban,Dhaka,Dhaka,15.00,2.09,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,18.00,3.17,CS,ComputerSciandEngr
CSE-1,BBA-2,ARC-3,5,5,ban,Jessore,Dhaka,57.00,2.86,CS,ComputerSciandEngr
CSE-1,ECE-2,BBA-3,5,4.1,ban,Barisal,Barisal,66.00,2.64,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.8,ban,Chittagong,Chittagong,66.00,2.3,CS,ComputerSciandEngr
EEE-1,CSE-2,BBA-3,5,5,ban,Dhaka,Dhaka,99.00,2.19,CS,ComputerSciandEngr
ECE-1,EEE-2,CSE-3,5,5,ban,Chittagong,Chittagong,111.00,2.59,CS,ComputerSciandEngr
CSE-1,ECE-2,BBA-3,4.94,4.8,ban,Dinajpur,Dinajpur,123.00,2.3,CS,ComputerSciandEngr
EEE-1,CSE-2,ECE-3,4.66,3.33,eng,,,15.00,2.06,CS,ComputerSciandEngr
CSE-1,EEE-2,ECO-3,4.6,3.5,eng,,,15.00,2.59,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Rajshahi,Rajshahi,51.00,2.38,CS,ComputerSciandEngr
CSE-1,BBA-2,EEE-3,4.75,4,ban,Dhaka,Dhaka,93.00,2.08,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,4.9,ban,Jessore,Jessore,45.00,2.22,CS,ComputerSciandEngr
CSE-1,ECE-2,EEE-3,5,4.6,ban,Rajshahi,Rajshahi,27.00,2.08,CS,ComputerSciandEngr
ECE-1,CSE-2,EEE-3,5,4.9,ban,Comilla,Dhaka,24.00,2.96,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,4.94,4.9,ban,Dhaka,Dhaka,60.00,2.93,CS,ComputerSciandEngr
CS-1,BBA-2,ECO-3,,,ban,,,12.00,2.3,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,,,ban,,,35.50,2.36,CS,ComputerSciandEngr
ARC-1,CSE-2,CS-3,,,ban,,,93.00,3.28,CS,ComputerSciandEngr
CSE-1,BBA-2,ARC-3,,,ban,,,84.00,2.31,CS,ComputerSciandEngr
CSE-1,CS-2,BIO-3,4.88,4.6,ban,Dinajpur,Dinajpur,78.00,3.22,CS,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,,ban,Comilla,Comilla,18.00,2.77,CS,ComputerSciandEngr
